work_year,job_title,skills,experience_level,salary_usd,company_location,remote_ratio,industry
2023,ML Engineer,"Python, SQL, Machine Learning",Mid,149783,Australia,100,Healthcare
2024,AI Engineer,"Python, SQL, Machine Learning",Senior,62900,Canada,100,Cloud Services
2021,ML Engineer,"Python, NLP, PyTorch",Senior,140657,Canada,75,Cloud Services
2021,Software Engineer,"Python, SQL, Machine Learning",Entry,108735,Germany,100,IT
2021,ML Engineer,"Java, Spring Boot, Microservices",Mid,142149,Canada,75,E-commerce
2021,AI Engineer,"Python, SQL, Machine Learning",Senior,95412,India,25,E-commerce
2022,Software Engineer,"Java, Spring Boot, Microservices",Senior,100903,UK,100,Cloud Services
2021,ML Engineer,"AWS, Azure, Cloud Computing",Senior,115109,Germany,100,E-commerce
2021,Cloud Engineer,"SQL, Excel, Power BI",Entry,108507,India,50,IT
2022,Data Analyst,"Python, NLP, PyTorch",Entry,141418,US,25,Healthcare
2020,Cloud Engineer,"Python, TensorFlow, Deep Learning",Entry,70054,Canada,50,E-commerce
2021,Cloud Engineer,"Python, SQL, Machine Learning",Mid,148768,US,50,IT
2021,ML Engineer,"SQL, Excel, Power BI",Senior,109010,Germany,25,Finance
2020,Software Engineer,"AWS, Azure, Cloud Computing",Senior,74615,India,75,Cloud Services
2022,Cloud Engineer,"Python, TensorFlow, Deep Learning",Mid,141290,US,25,IT
2021,Cloud Engineer,"AWS, Azure, Cloud Computing",Mid,129376,Germany,75,E-commerce
2021,Data Scientist,"Python, SQL, Machine Learning",Senior,103580,Canada,25,IT
2020,Data Scientist,"Python, TensorFlow, Deep Learning",Mid,127522,Australia,75,Healthcare
2020,Cloud Engineer,"Python, SQL, Machine Learning",Entry,107589,US,75,E-commerce
2024,Data Scientist,"AWS, Azure, Cloud Computing",Mid,102433,India,0,IT
2020,Software Engineer,"Python, NLP, PyTorch",Senior,100497,Canada,100,Finance
2020,ML Engineer,"Python, SQL, Machine Learning",Mid,113844,Germany,50,Finance
2022,Cloud Engineer,"AWS, Azure, Cloud Computing",Mid,132198,Germany,0,Finance
2020,AI Engineer,"SQL, Excel, Power BI",Mid,94948,UK,25,Healthcare
2024,Business Analyst,"Python, SQL, Machine Learning",Senior,143226,UK,25,Cloud Services
2020,ML Engineer,"AWS, Azure, Cloud Computing",Senior,74800,Australia,100,Healthcare
2023,Cloud Engineer,"Java, Spring Boot, Microservices",Mid,97952,US,0,Finance
2020,Data Scientist,"Python, TensorFlow, Deep Learning",Entry,108433,Australia,50,E-commerce
2020,Data Analyst,"Java, Spring Boot, Microservices",Mid,69160,UK,50,E-commerce
2022,Business Analyst,"Python, TensorFlow, Deep Learning",Senior,137143,Australia,0,Healthcare
2024,Business Analyst,"AWS, Azure, Cloud Computing",Mid,115817,Canada,25,Finance
2021,Data Analyst,"Python, SQL, Machine Learning",Mid,61246,US,25,Healthcare
2020,Data Analyst,"AWS, Azure, Cloud Computing",Entry,98461,UK,25,Cloud Services
2020,Software Engineer,"Python, SQL, Machine Learning",Entry,116626,Germany,75,Cloud Services
2024,ML Engineer,"AWS, Azure, Cloud Computing",Senior,87818,UK,0,Finance
2021,Business Analyst,"Java, Spring Boot, Microservices",Senior,66995,India,0,Healthcare
2022,Business Analyst,"Python, SQL, Machine Learning",Mid,136724,US,100,Cloud Services
2024,Cloud Engineer,"Java, Spring Boot, Microservices",Entry,138961,India,75,Cloud Services
2024,Business Analyst,"Python, NLP, PyTorch",Entry,116814,Australia,25,Finance
2023,Data Scientist,"Statistics, R, Data Visualization",Entry,147010,India,50,E-commerce
2022,Data Scientist,"AWS, Azure, Cloud Computing",Mid,66368,Australia,0,Finance
2023,Software Engineer,"Python, SQL, Machine Learning",Entry,103673,Australia,100,Cloud Services
2020,Software Engineer,"Python, NLP, PyTorch",Entry,64671,Canada,25,Healthcare
2021,Data Analyst,"AWS, Azure, Cloud Computing",Entry,104251,Canada,25,Finance
2021,Cloud Engineer,"Python, TensorFlow, Deep Learning",Senior,68228,Germany,25,IT
2023,AI Engineer,"Python, SQL, Machine Learning",Mid,95053,India,0,E-commerce
2022,Business Analyst,"SQL, Excel, Power BI",Entry,114719,Australia,75,Finance
2021,ML Engineer,"Python, NLP, PyTorch",Mid,64600,Australia,50,Finance
2022,ML Engineer,"Java, Spring Boot, Microservices",Entry,72002,US,0,Cloud Services
2024,Software Engineer,"AWS, Azure, Cloud Computing",Senior,100560,US,50,IT
2022,Software Engineer,"Java, Spring Boot, Microservices",Mid,64524,Australia,50,IT
2020,Data Analyst,"Statistics, R, Data Visualization",Senior,71993,Canada,100,Finance
2021,Cloud Engineer,"Statistics, R, Data Visualization",Senior,124099,India,50,Cloud Services
2020,Software Engineer,"Python, SQL, Machine Learning",Senior,120248,India,100,Healthcare
2022,ML Engineer,"Python, SQL, Machine Learning",Senior,95789,Canada,50,E-commerce
2023,ML Engineer,"AWS, Azure, Cloud Computing",Entry,86779,India,50,E-commerce
2023,AI Engineer,"SQL, Excel, Power BI",Senior,90570,UK,50,E-commerce
2020,ML Engineer,"Java, Spring Boot, Microservices",Senior,127418,UK,100,IT
2023,Cloud Engineer,"Python, TensorFlow, Deep Learning",Mid,148053,India,0,E-commerce
2021,Data Scientist,"SQL, Excel, Power BI",Mid,122065,Australia,100,Finance
2024,ML Engineer,"AWS, Azure, Cloud Computing",Mid,77357,UK,25,Healthcare
2024,ML Engineer,"SQL, Excel, Power BI",Entry,76183,Germany,0,Cloud Services
2021,Cloud Engineer,"Statistics, R, Data Visualization",Mid,145970,UK,0,Cloud Services
2024,Data Analyst,"Statistics, R, Data Visualization",Senior,108067,Australia,50,Finance
2021,Data Analyst,"AWS, Azure, Cloud Computing",Mid,81941,Canada,75,Finance
2022,Business Analyst,"SQL, Excel, Power BI",Senior,148046,Germany,100,Cloud Services
2022,Data Scientist,"Python, TensorFlow, Deep Learning",Mid,75868,Canada,75,Healthcare
2024,Software Engineer,"Statistics, R, Data Visualization",Mid,97765,Canada,25,IT
2023,AI Engineer,"Python, TensorFlow, Deep Learning",Mid,79640,Australia,50,E-commerce
2021,Software Engineer,"Python, SQL, Machine Learning",Senior,84179,Canada,100,IT
2020,Data Analyst,"Java, Spring Boot, Microservices",Mid,101138,Canada,50,Cloud Services
2020,ML Engineer,"AWS, Azure, Cloud Computing",Senior,134861,Germany,50,E-commerce
2022,Software Engineer,"Statistics, R, Data Visualization",Entry,93392,India,25,Cloud Services
2022,ML Engineer,"Statistics, R, Data Visualization",Senior,146103,US,25,Healthcare
2023,Cloud Engineer,"AWS, Azure, Cloud Computing",Entry,113643,India,0,Healthcare
2021,ML Engineer,"Python, NLP, PyTorch",Mid,87815,Canada,25,Healthcare
2021,Data Scientist,"Python, SQL, Machine Learning",Entry,127906,UK,75,Finance
2022,AI Engineer,"AWS, Azure, Cloud Computing",Senior,92899,US,75,E-commerce
2022,Business Analyst,"AWS, Azure, Cloud Computing",Senior,141965,UK,0,Finance
2023,Business Analyst,"Python, SQL, Machine Learning",Entry,65974,Germany,25,E-commerce
2023,Data Scientist,"Python, NLP, PyTorch",Senior,143328,Canada,50,Cloud Services
2023,Data Scientist,"Python, NLP, PyTorch",Entry,136721,India,50,IT
2020,Data Scientist,"SQL, Excel, Power BI",Senior,143382,Germany,75,IT
2020,ML Engineer,"SQL, Excel, Power BI",Mid,133779,India,75,Finance
2023,Cloud Engineer,"Python, NLP, PyTorch",Mid,94155,US,100,Cloud Services
2020,AI Engineer,"AWS, Azure, Cloud Computing",Senior,131812,Canada,100,E-commerce
2023,Software Engineer,"Python, NLP, PyTorch",Senior,115933,India,25,E-commerce
2022,Software Engineer,"Python, SQL, Machine Learning",Mid,103285,India,0,Finance
2023,AI Engineer,"Python, TensorFlow, Deep Learning",Entry,72356,UK,25,Healthcare
2021,Business Analyst,"Python, SQL, Machine Learning",Senior,76660,UK,0,Finance
2020,Data Analyst,"Python, NLP, PyTorch",Entry,83172,US,0,Finance
2020,AI Engineer,"SQL, Excel, Power BI",Entry,137590,US,0,Finance
2023,Business Analyst,"AWS, Azure, Cloud Computing",Senior,64841,India,0,Finance
2023,Data Scientist,"Python, NLP, PyTorch",Entry,122754,India,50,E-commerce
2022,Data Scientist,"Python, TensorFlow, Deep Learning",Entry,111172,Germany,75,Cloud Services
2022,AI Engineer,"Java, Spring Boot, Microservices",Mid,65858,Germany,75,IT
2022,AI Engineer,"Statistics, R, Data Visualization",Entry,65986,US,75,IT
2020,Business Analyst,"Java, Spring Boot, Microservices",Senior,116286,Australia,50,Healthcare
2022,Software Engineer,"Python, NLP, PyTorch",Senior,111331,Canada,75,Finance
2020,Data Scientist,"Python, TensorFlow, Deep Learning",Mid,97680,Canada,100,Cloud Services
2021,Data Scientist,"Python, NLP, PyTorch",Mid,148424,UK,100,Finance
2021,Software Engineer,"Python, SQL, Machine Learning",Senior,102200,UK,75,Healthcare
2022,Cloud Engineer,"Python, NLP, PyTorch",Entry,93283,India,75,Finance
2022,Cloud Engineer,"Statistics, R, Data Visualization",Senior,108322,India,25,Finance
2021,Cloud Engineer,"Java, Spring Boot, Microservices",Senior,70654,UK,75,IT
2021,AI Engineer,"Python, SQL, Machine Learning",Mid,109604,India,50,Cloud Services
2023,Business Analyst,"Java, Spring Boot, Microservices",Senior,83402,UK,50,IT
2021,Software Engineer,"Python, TensorFlow, Deep Learning",Senior,128271,US,0,IT
2020,Software Engineer,"Python, NLP, PyTorch",Mid,146370,Canada,100,Cloud Services
